Task 3,,,,,,
U,R3,R1,R2,R4 (ohm),U_B (V),Th. U_B
5,998,997,2000,500,"1,6","1,667778148"
,,,,600,"1,43","1,45932332"
,,,,700,"1,23","1,275421476"
,,,,800,"1,07","1,111975899"
,,,,900,"0,93","0,9657532489"
,,,,1000,"0,787","0,8341675008"
,,,,1100,"0,681","0,7151256754"
,,,,1200,"0,581","0,6069156812"
,,,,1300,"0,484","0,5081234411"
,,,,1400,"0,397","0,417570754"
,,,,1500,"0,318","0,3342680818"
,,,,1600,"0,244","0,2573782404"
,,,,1700,"0,176","0,1861881649"
,,,,1800,"0,113","0,1200867296"
,,,,1900,"0,0536","0,05854716"
,,,,1950,"0,0252","0,02934300198"
,,,,1960,"0,0197","0,02362064566"
,,,,1970,"0,0141","0,0179368497"
,,,,1980,"0,0087","0,01229122563"
,,,,1990,"0,0033","0,006683390218"
,,,,1991,"0,0032","0,006124670449"
,,,,1995,"0,0014","0,003893524887"
,,,,1996,"0,0009","0,003336670003"
,,,,1997,"0,0003","0,002780186976"
,,,,1998,"-0,0001","0,002224075433"
,,,,2000,"-0,0011","0,001112965311"
,,,,2100,"-0,0856","-0,05261340531"
,,,,2200,"-0,1329","-0,1029797778"
,,,,2500,"-0,258","-0,2368005513"
,,,,3000,"-0,428","-0,4152059346"
,,,,4000,"-0,667","-0,6649306369"
,,,,5000,"-0,828","-0,8313860153"
,,,,6000,"-0,943","-0,9502691221"
,,,,7000,"-1,03","-1,03942402"
,,,,8000,"-1,097","-1,108762315"
,,,,9000,"-1,152","-1,164230177"
,,,,10000,"-1,196","-1,209611139"
,,,,20000,"-1,411","-1,425688317"
,,,,30000,"-1,486","-1,502351869"
,,,,40000,"-1,525","-1,541616742"
