f,A_output (V),B_input(V),,Transfer Fn
100,0.0174,1.386,,0.01255411255
300,0.0174,1.386,,0.01255411255
500,0.02609,1.386,,0.01882395382
700,0.03479,1.386,,0.0251010101
900,0.04349,1.386,,0.03137806638
1000,0.05219,1.386,,0.03765512266
3000,0.1218,1.377,,0.08845315904
5000,0.1827,1.369,,0.1334550767
7000,0.2261,1.351,,0.167357513
9000,0.2957,1.342,,0.220342772
10000,0.3218,1.333,,0.2414103526
30000,0.6697,1.146,,0.5843804538
40000,0.7393,1.084,,0.6820110701
50000,0.7828,1.04,,0.7526923077
60000,0.7915,0.9953,,0.7952376168
70000,0.8089,0.9597,,0.8428675628
80000,0.8089,0.942,,0.8587048832
90000,0.8089,0.9153,,0.8837539605
100000,0.7828,0.862,,0.9081206497
